	STATION	DIVISION	Fixed Counts
242	CYPRESS AV	IRT	54032.0
99	50 ST	BMT	53611.0
232	CLEVELAND ST	BMT	52561.0
166	AVENUE X	IND	50775.0
264	FLUSHING AV	IND	49888.0
294	HEWES ST	BMT	49446.0
371	PARK PLACE	IRT	49007.0
141	88 ST	IND	48391.0
179	BEACH 67 ST	IND	47618.0
425	VAN SICLEN AV	BMT	47412.0
329	LIBERTY AV	IND	46811.0
168	BAY 50 ST	BMT	46134.0
191	BOROUGH HALL	BMT	45662.0
7	111 ST	BMT	45372.0
444	ZEREGA AV	IRT	44657.0
151	AQUEDUCT RACETR	IND	44411.0
8	111 ST	IND	43616.0
426	VAN SICLEN AV	IRT	43186.0
203	BRONX PARK EAST	IRT	41472.0
209	BUSHWICK AV	BMT	40370.0
178	BEACH 60 ST	IND	39616.0
148	ALABAMA AV	BMT	39417.0
4	104 ST	BMT	39052.0
342	MORRIS PARK	IRT	37903.0
399	SENECA AVE	BMT	37887.0
105	55 ST	BMT	36941.0
338	MIDDLETOWN RD	IRT	34744.0
157	ATLANTIC AV	BMT	33889.0
175	BEACH 25 ST	IND	32319.0
56	21 ST	IND	32171.0
436	WHITLOCK AV	IRT	31338.0
370	PARK PLACE	BMT	31107.0
315	JUNIUS ST	IRT	30958.0
5	104 ST	IND	30791.0
162	AVENUE N	IND	29670.0
58	215 ST	IRT	28584.0
82	36 AV	BMT	26077.0
350	NEPTUNE AV	IND	24750.0
243	CYPRESS HILLS	BMT	24664.0
163	AVENUE P	IND	23124.0
193	BOTANIC GARDEN	BMT	23069.0
180	BEACH 90 ST	IND	22784.0
13	121 ST	BMT	21558.0
358	NEWARK HM HE	PTH	20745.0
176	BEACH 36 ST	IND	17019.0
250	E 143/ST MARY'S	IRT	16316.0
150	AQUEDUCT N.COND	IND	16198.0
396	ROCKAWAY PARK B	IND	15468.0
419	TOMPKINSVILLE	SRT	14339.0
177	BEACH 44 ST	IND	13326.0
159	AVENUE I	IND	11428.0
165	AVENUE U	IND	10141.0
181	BEACH 98 ST	IND	9126.0
174	BEACH 105 ST	IND	7101.0
170	BAY PKWY	IND	6646.0
198	BROAD CHANNEL	IND	5363.0
368	ORCHARD BEACH	IND	312.0
