GUN HILL RD,IRT,,IRT,Gun Hill Rd,,,
HARLEM 148 ST,IRT,,IRT,Harlem - 148 St,,,
HOUSTON ST,IRT,,IRT,Houston St,,,
HOYT ST,IRT,,IRT,Hoyt St,,,
HUNTERS PT AV,IRT,,IRT,Hunters Point Av,,,
HUNTS POINT AV,IRT,,IRT,Hunts Point Av,,,
INTERVALE AV,IRT,,IRT,Intervale Av,,,
JACKSON AV,IRT,,IRT,Jackson Av,,,
JUNCTION BLVD,IRT,,IRT,Junction Blvd,,,
JUNIUS ST,IRT,,IRT,Junius St,,,
KINGSBRIDGE RD,IRT,,IRT,Kingsbridge Rd,,,
KINGSTON AV,IRT,,IRT,Kingston Av,,,
LONGWOOD AV,IRT,,IRT,Longwood Av,,,
MARBLE HILL-225,IRT,,IRT,Marble Hill - 225 St,,,
METS-WILLETS PT,IRT,,IRT,Mets - Willets Point,,,
MIDDLETOWN RD,IRT,,IRT,Middletown Rd,,,
MORISN AV/SNDVW,IRT,,IRT,Morrison Av- Sound View,,,
MORRIS PARK,IRT,,IRT,Morris Park, , ,
MOSHOLU PKWY,IRT,,IRT,Mosholu Pkwy,,,
MT EDEN AV,IRT,,IRT,Mt Eden Av,,,
NEREID AV,IRT,,IRT,Nereid Av,,,
NEVINS ST,IRT,,IRT,Nevins St,,,
NEW LOTS AV,IRT,,IRT,New Lots Av,,,
NEWKIRK AV,IRT,,IRT,Newkirk Av,,,
NOSTRAND AV,IRT,,IRT,Nostrand Av,,,
PARK PLACE,IRT,,IRT,Park Pl,,,
PARKCHESTER,IRT,,IRT,Parkchester,,,
PELHAM BAY PARK,IRT,,IRT,Pelham Bay Park,,,
PELHAM PKWY,IRT,,IRT,Pelham Pkwy,,,
PENNSYLVANIA AV,IRT,,IRT,Pennsylvania Av,,,
PRESIDENT ST,IRT,,IRT,President St,,,
PROSPECT AV,IRT,,IRT,Prospect Av,,,
QUEENSBORO PLZ,IRT,,IRT,Queensboro Plaza,,,
RECTOR ST,IRT,,IRT,Rector St,,,
ROCKAWAY AV,IRT,,IRT,Rockaway Av,,,
SARATOGA AV,IRT,,IRT,Saratoga Av,,,
SIMPSON ST,IRT,,IRT,Simpson St,,,
SOUTH FERRY,IRT,,IRT,South Ferry,,,
SPRING ST,IRT,,IRT,Spring St,,,
ST LAWRENCE AV,IRT,,IRT,St Lawrence Av,,,
STERLING ST,IRT,,IRT,Sterling St,,,
SUTTER AV-RUTLD,IRT,,IRT,Sutter Av - Rutland Rd,,,
TIMES SQ-42 ST,IRT,,IRT,Times Sq - 42 St,,,
V.CORTLANDT PK,IRT,,IRT,Van Cortlandt Park - 242 St,,,
VAN SICLEN AV,IRT,,IRT,Van Siclen Av,,,
VERNON-JACKSON,IRT,,IRT,Vernon Blvd - Jackson Av,,,
WAKEFIELD/241,IRT,,IRT,Wakefield - 241 St,,,
WALL ST,IRT,,IRT,Wall St,,,
WEST FARMS SQ,IRT,,IRT,West Farms Sq - E Tremont Av,,,
WESTCHESTER SQ,IRT,,IRT,Westchester Sq - E Tremont Av,,,
WHITLOCK AV,IRT,,IRT,Whitlock Av,,,
WINTHROP ST,IRT,,IRT,Winthrop St,,,
WOODLAWN,IRT,,IRT,Woodlawn,,,
ZEREGA AV,IRT,,IRT,Zerega Av,,,
14TH STREET,PTH,, , ,,,
9TH STREET,PTH,, , ,,,
CHRISTOPHER ST,PTH,, , ,,,
CITY / BUS,PTH,, , ,,,
EXCHANGE PLACE,PTH,, , ,,,
GROVE STREET,PTH,, , ,,,
HARRISON,PTH,, , ,,,
JOURNAL SQUARE,PTH,, , ,,,
LACKAWANNA,PTH,, , ,,,
NEWARK BM BW,PTH,, , ,,,
NEWARK C,PTH,, , ,,,
NEWARK HM HE,PTH,, , ,,,
NEWARK HW BMEBE,PTH,, , ,,,
PATH NEW WTC,PTH,, , ,,,
PATH WTC 2,PTH,, , ,,,
PAVONIA/NEWPORT,PTH,, , ,,,
THIRTY ST,PTH,, , ,,,
THIRTY THIRD ST,PTH,, , ,,,
TWENTY THIRD ST,PTH,,  , ,,,
RIT-MANHATTAN,RIT,, , ,,,
RIT-ROOSEVELT,RIT,, , ,,,
ST. GEORGE,SRT,,SIR,St George,,,
TOMPKINSVILLE,SRT,,SIR,Tompkinsville,,,
