	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
191	CHURCH AV	IND	168632.0	108970.0	IND	Church Av	243.0	243.0	F27	6th Av - Culver	Bk	F	Subway	40.644040999999994	-73.979678
192	TREMONT AV	IND	166682.0	105610.0	IND	Tremont Av	215.0	215.0	D07	Concourse	Bx	B D	Subway	40.85041	-73.905227
193	96 ST	IND	164622.0	125555.0	IND	96 St	157.0	157.0	A19	8th Av - Fulton St	M	B C	Subway	40.791641999999996	-73.96469599999999
194	DELANCEY/ESSEX	BMT	163624.0	104208.0	 	 									
195	BROADWAY JCT	IND	161298.0	154308.0	IND	Broadway Jct	184.0	621.0	A51	8th Av - Fulton St	Bk	A C	Subway	40.678334	-73.905316
196	NASSAU AV	IND	161276.0	77623.0	IND	Nassau Av	284.0	284.0	G28	Crosstown	Bk	G	Subway	40.724635	-73.951277
197	TWENTY THIRD ST	PTH	159662.0	148820.0	  	 									
198	CHURCH AV	IRT	159517.0	35214.0	IRT	Church Av	356.0	356.0	244	Nostrand	Bk	2 5	Subway	40.650843	-73.949575
199	18 AV	BMT	159381.0	54183.0	BMT	18 Av	66.0	66.0	B19	West End	Bk	D	Elevated	40.607954	-74.001736
200	4AV-9 ST	BMT	157908.0	109431.0											
201	BEDFORD-NOSTRAN	IND	157893.0	91945.0	IND	Bedford - Nostrand Avs	289.0	289.0	G33	Crosstown	Bk	G	Subway	40.689627	-73.95352199999999
202	46 ST	IND	156725.0	131071.0	IND	46 St	270.0	270.0	G18	Queens Blvd	Q	M R	Subway	40.756312	-73.913333
203	231 ST	IRT	153728.0	22227.0	IRT	231 St	295.0	295.0	104	Broadway - 7Av	Bx	1	Elevated	40.878856	-73.904834
204	33 ST-RAWSON ST	IRT	153628.0	124746.0	IRT	33 St	403.0	403.0	632	Lexington Av	M	6	Subway	40.746081	-73.982076
205	SIMPSON ST	IRT	152996.0	46069.0	IRT	Simpson St	430.0	430.0	217	Lenox - White Plains Rd	Bx	2 5	Elevated	40.824073	-73.893064
206	FLUSHING AV	BMT	151196.0	74775.0	BMT	Flushing Av	98.0	98.0	M12	Jamaica	Bk	J M	Elevated	40.70026	-73.941126
207	KINGSBRIDGE RD	IRT	150698.0	76195.0	IRT	Kingsbridge Rd	381.0	381.0	406	Jerome Av	Bx	4	Elevated	40.86776	-73.89717399999999
208	167 ST	IRT	150094.0	157441.0	IRT	167 St	388.0	388.0	413	Jerome Av	Bx	4	Elevated	40.835537	-73.9214
209	JEFFERSON ST	BMT	149834.0	35825.0	BMT	Jefferson St	126.0	126.0	L15	Canarsie	Bk	L	Subway	40.706607	-73.922913
210	HARRISON	PTH	148618.0	157641.0	 	 									
211	18 ST	IRT	147366.0	91673.0	IRT	18 St	321.0	321.0	131	Broadway - 7Av	M	1	Subway	40.741040000000005	-73.99787099999999
212	20 AV	BMT	146796.0	46249.0	BMT	20 Av	67.0	67.0	B20	West End	Bk	D	Elevated	40.604556	-73.998168
213	170 ST	IRT	146465.0	132112.0	IRT	170 St	387.0	387.0	412	Jerome Av	Bx	4	Elevated	40.840075	-73.91779100000001
214	MORGAN AV	BMT	145981.0	69880.0	BMT	Morgan Av	125.0	125.0	L14	Canarsie	Bk	L	Subway	40.706152	-73.93314699999999
215	67 AV	IND	145812.0	70555.0	IND	67 Av	262.0	262.0	G09	Queens Blvd	Q	M R	Subway	40.726523	-73.852719
216	NORWOOD 205 ST	IND	145364.0	105868.0	IND	Norwood - 205 St	210.0	210.0	D01	Concourse	Bx	D	Subway	40.874811	-73.878855
217	METS-WILLETS PT	IRT	143685.0	147555.0	IRT	Mets - Willets Point	448.0	448.0	702	Flushing	Q	7	Elevated	40.754622	-73.845625
218	116 ST	IND	143614.0	90929.0	IND	116 St	154.0	154.0	A16	8th Av - Fulton St	M	B C	Subway	40.805085	-73.954882
219	MOSHOLU PKWY	IRT	142044.0	47943.0	IRT	Mosholu Pkwy	379.0	379.0	402	Jerome Av	Bx	4	Elevated	40.87975	-73.88465500000001
220	ROOSEVELT ISLND	IND	139073.0	126308.0	IND	Roosevelt Island	222.0	222.0	B06	63rd St	M	F	Subway	40.759145000000004	-73.95326
221	3 AV 138 ST	IRT	138778.0	92376.0	IRT	3 Av - 138 St	377.0	377.0	619	Pelham	Bx	6	Subway	40.810476	-73.926138
222	KINGSBRIDGE RD	IND	135943.0	101285.0	IND	Kingsbridge Rd	212.0	212.0	D04	Concourse	Bx	B D	Subway	40.866978	-73.893509
223	169 ST	IND	135074.0	116441.0	IND	169 St	255.0	255.0	F02	Queens Blvd	Q	F	Subway	40.71047	-73.793604
224	OZONE PK LEFFRT	IND	133121.0	107860.0	IND	Ozone Park - Lefferts Blvd	195.0	195.0	A65	Liberty Av	Q	A	Elevated	40.685951	-73.82579799999999
225	E 180 ST	IRT	133015.0	115001.0	IRT	E 180 St	426.0	426.0	213	Lenox - White Plains Rd	Bx	2 5	Elevated	40.841894	-73.873488
226	155 ST	IND	131578.0	91221.0	IND	155 St	150.0	150.0	A11	8th Av - Fulton St	M	C	Subway	40.830518	-73.941514
227	ROCKAWAY BLVD	IND	131468.0	44631.0	IND	Rockaway Blvd	192.0	192.0	A61	Liberty Av	Q	A	Elevated	40.680429	-73.843853
228	PELHAM BAY PARK	IRT	131123.0	76717.0	IRT	Pelham Bay Park	360.0	360.0	601	Pelham	Bx	6	Elevated	40.852462	-73.828121
229	MONTROSE AV	BMT	129828.0	73241.0	BMT	Montrose Av	124.0	124.0	L13	Canarsie	Bk	L	Subway	40.707739000000004	-73.93985
230	3 AV	BMT	129469.0	126982.0	BMT	3 Av	118.0	118.0	L05	Canarsie	M	L	Subway	40.732849	-73.986122
231	GATES AV	BMT	128819.0	49400.0	BMT	Gates Av	95.0	95.0	J30	Jamaica	Bk	J Z	Elevated	40.68963	-73.92227
232	WOODLAWN	IRT	128417.0	31453.0	IRT	Woodlawn	378.0	378.0	401	Jerome Av	Bx	4	Elevated	40.886037	-73.878751
233	WEST FARMS SQ	IRT	127616.0	74222.0	IRT	West Farms Sq - E Tremont Av	427.0	427.0	214	Lenox - White Plains Rd	Bx	2 5	Elevated	40.840295000000005	-73.880049
234	DYCKMAN ST	IND	126051.0	3229.0	IND	Dyckman St	144.0	144.0	A03	8th Av - Fulton St	M	A	Subway	40.865491	-73.92727099999999
235	BAY RIDGE AV	BMT	125575.0	69007.0	BMT	Bay Ridge Av	36.0	36.0	R42	4th Av	Bk	R	Subway	40.634966999999996	-74.023377
236	NEWKIRK AV	IRT	125289.0	80132.0	IRT	Newkirk Av	358.0	358.0	246	Nostrand	Bk	2 5	Subway	40.639967	-73.948411
237	PROSPECT AV	IRT	123304.0	38513.0	IRT	Prospect Av	432.0	432.0	219	Lenox - White Plains Rd	Bx	2 5	Elevated	40.819585	-73.90177
238	GRAND ST	BMT	123227.0	118288.0	BMT	Grand St	123.0	123.0	L12	Canarsie	Bk	L	Subway	40.711926	-73.94067
239	PARKSIDE AV	BMT	123011.0	86182.0	BMT	Parkside Av	43.0	43.0	D27	Broadway - Brighton	Bk	B Q	Open Cut	40.655291999999996	-73.961495
240	53 ST	BMT	122899.0	119842.0	BMT	53 St	34.0	34.0	R40	4th Av	Bk	R	Subway	40.645069	-74.014034
241	191 ST	IRT	122516.0	143347.0	IRT	191 St	300.0	300.0	110	Broadway - 7Av	M	1	Subway	40.855225	-73.929412
242	GRAND ARMY PLAZ	IRT	122492.0	47383.0	IRT	Grand Army Plaza	340.0	340.0	237	Eastern Pky	Bk	2 3	Subway	40.675235	-73.971046
243	NORTHERN BLVD	IND	121854.0	100776.0	IND	Northern Blvd	269.0	269.0	G16	Queens Blvd	Q	M R	Subway	40.752885	-73.906006
244	RECTOR ST	BMT	121123.0	37157.0	BMT	Rector St	22.0	22.0	R26	Broadway	M	R W	Subway	40.70722	-74.01334200000001
245	45 ST	BMT	120800.0	68963.0	BMT	45 St	33.0	33.0	R39	4th Av	Bk	R	Subway	40.648939	-74.010006
246	V.CORTLANDT PK	IRT	119561.0	55135.0	IRT	Van Cortlandt Park - 242 St	293.0	293.0	101	Broadway - 7Av	Bx	1	Elevated	40.889247999999995	-73.898583
247	KINGSTON-THROOP	IND	119411.0	99257.0	IND	Kingston - Throop Avs	180.0	180.0	A47	8th Av - Fulton St	Bk	C	Subway	40.679921	-73.94085799999999
248	BEDFORD PK BLVD	IND	119333.0	75606.0	IND	Bedford Park Blvd	211.0	211.0	D03	Concourse	Bx	B D	Subway	40.873244	-73.88713800000001
249	WINTHROP ST	IRT	119004.0	23402.0	IRT	Winthrop St	355.0	355.0	243	Nostrand	Bk	2 5	Subway	40.656652	-73.9502
250	103 ST	IND	118509.0	69423.0	IND	103 St	156.0	156.0	A18	8th Av - Fulton St	M	B C	Subway	40.796092	-73.961454
251	FULTON ST	BMT	117856.0	139625.0	BMT	Fulton St	106.0	628.0	M22	Jamaica	M	J Z	Subway	40.710374	-74.007582
252	CORTELYOU RD	BMT	117378.0	37206.0	BMT	Cortelyou Rd	46.0	46.0	D30	Broadway - Brighton	Bk	B Q	Open Cut	40.640927000000005	-73.963891
253	6 AV	BMT	116849.0	48214.0	BMT	6 Av	116.0	601.0	L02	Canarsie	M	L	Subway	40.737334999999995	-73.996786
254	170 ST	IND	116430.0	61547.0	IND	170 St	217.0	217.0	D09	Concourse	Bx	B D	Subway	40.839306	-73.9134
255	FRANKLIN AV	IND	116345.0	118118.0	IND	Franklin Av	178.0	627.0	A45	8th Av - Fulton St	Bk	C	Subway	40.68138	-73.956848
256	HUNTERS PT AV	IRT	116292.0	95297.0	IRT	Hunters Point Av	463.0	463.0	720	Flushing	Q	7	Subway	40.742216	-73.948916
257	174 ST	IRT	116206.0	112189.0	IRT	174 St	428.0	428.0	215	Lenox - White Plains Rd	Bx	2 5	Elevated	40.837288	-73.887734
258	BROAD ST	BMT	115974.0	43459.0	BMT	Broad St	107.0	107.0	M23	Jamaica	M	J Z	Subway	40.706476	-74.01105600000001
259	FT HAMILTON PKY	BMT	114391.0	47684.0	BMT	Fort Hamilton Pkwy	60.0	60.0	B13	West End	Bk	D	Elevated	40.640914	-73.994304
260	DYCKMAN ST	IRT	114244.0	66061.0	IRT	Dyckman St	299.0	299.0	109	Broadway - 7Av	M	1	Elevated	40.860531	-73.925536
261	CASTLE HILL AV	IRT	113755.0	118380.0	IRT	Castle Hill Av	365.0	365.0	607	Pelham	Bx	6	Elevated	40.834255	-73.85122199999999
262	52 ST	IRT	112645.0	107859.0	IRT	52 St	457.0	457.0	713	Flushing	Q	7	Elevated	40.744149	-73.912549
263	15 ST-PROSPECT	IND	111409.0	67574.0	IND	15 St - Prospect Park	241.0	241.0	F25	6th Av - Culver	Bk	F G	Subway	40.660365000000006	-73.979493
264	MORISN AV/SNDVW	IRT	110240.0	96552.0	IRT	Morrison Av- Sound View	368.0	368.0	610	Pelham	Bx	6	Elevated	40.829521	-73.874516
265	AVENUE J	BMT	109380.0	53276.0	BMT	Avenue J	49.0	49.0	D33	Broadway - Brighton	Bk	B Q	Open Cut	40.625039	-73.960803
266	ELDER AV	IRT	108627.0	106343.0	IRT	Elder Av	369.0	369.0	611	Pelham	Bx	6	Elevated	40.828584	-73.879159
267	PARSONS BLVD	IND	108052.0	95452.0	IND	Parsons Blvd	256.0	256.0	F03	Queens Blvd	Q	F	Subway	40.707564	-73.803326
268	CANAL ST	IRT	107991.0	101209.0	IRT	Canal St	325.0	325.0	135	Broadway - 7Av	M	1	Subway	40.722854	-74.006277
269	UNION ST	BMT	107395.0	84375.0	BMT	Union St	28.0	28.0	R32	4th Av	Bk	R	Subway	40.677316	-73.98311
270	AVENUE M	BMT	106943.0	41293.0	BMT	Avenue M	50.0	50.0	D34	Broadway - Brighton	Bk	B Q	Open Cut	40.617618	-73.959399
271	NEWARK C	PTH	106444.0	76780.0	 	 									
272	RALPH AV	IND	105411.0	52795.0	IND	Ralph Av	182.0	182.0	A49	8th Av - Fulton St	Bk	C	Subway	40.678822	-73.92078599999999
273	CITY HALL	BMT	105018.0	60185.0	BMT	City Hall	20.0	20.0	R24	Broadway	M	R W	Subway	40.713282	-74.006978
274	KOSCIUSZKO ST	BMT	104609.0	34770.0	BMT	Kosciuszko St	96.0	96.0	J31	Jamaica	Bk	J	Elevated	40.693342	-73.928814
275	GRANT AV	IND	103741.0	87530.0	IND	Grant Av	189.0	189.0	A57	Liberty Av	Bk	A	Subway	40.677044	-73.86505
276	207 ST	IRT	103507.0	51817.0	IRT	207 St	298.0	298.0	108	Broadway - 7Av	M	1	Elevated	40.864621	-73.91882199999999
277	BROOK AV	IRT	102954.0	103664.0	IRT	Brook Av	376.0	376.0	618	Pelham	Bx	6	Subway	40.807565999999994	-73.91924
278	FRANKLIN ST	IRT	102745.0	58526.0	IRT	Franklin St	326.0	326.0	136	Broadway - 7Av	M	1	Subway	40.719318	-74.006886
279	FT HAMILTON PKY	IND	102002.0	38947.0	IND	Fort Hamilton Pkwy	242.0	242.0	F26	6th Av - Culver	Bk	F G	Subway	40.650782	-73.975776
280	WESTCHESTER SQ	IRT	101887.0	96388.0	IRT	Westchester Sq - E Tremont Av	363.0	363.0	604	Pelham	Bx	6	Elevated	40.839892	-73.842952
281	183 ST	IRT	101581.0	54062.0	IRT	183 St	383.0	383.0	408	Jerome Av	Bx	4	Elevated	40.858407	-73.903879
282	BAY RIDGE-95 ST	BMT	101120.0	62453.0	BMT	Bay Ridge - 95 St	39.0	39.0	R45	4th Av	Bk	R	Subway	40.616622	-74.030876
283	CHRISTOPHER ST	PTH	100866.0	109348.0	 	 									
284	MYRTLE-WILLOUGH	IND	100675.0	56221.0	IND	Myrtle - Willoughby Avs	288.0	288.0	G32	Crosstown	Bk	G	Subway	40.694568	-73.949046
285	176 ST	IRT	100445.0	57630.0	IRT	176 St	385.0	385.0	410	Jerome Av	Bx	4	Elevated	40.84848	-73.911794
286	SUTTER AV-RUTLD	IRT	100310.0	107364.0	IRT	Sutter Av - Rutland Rd	346.0	346.0	251	Eastern Pky	Bk	3	Elevated	40.664716999999996	-73.92260999999999
287	ROCKAWAY AV	IND	99712.0	60120.0	IND	Rockaway Av	183.0	183.0	A50	8th Av - Fulton St	Bk	C	Subway	40.678340000000006	-73.911946
288	79 ST	BMT	99364.0	31408.0	BMT	79 St	65.0	65.0	B18	West End	Bk	D	Elevated	40.613501	-74.00061
289	STERLING ST	IRT	98043.0	56641.0	IRT	Sterling St	354.0	354.0	242	Nostrand	Bk	2 5	Subway	40.662742	-73.95085
290	NEWARK HW BMEBE	PTH	97208.0	147696.0	 	 									
291	HOYT ST	IRT	96570.0	83144.0	IRT	Hoyt St	336.0	336.0	233	Eastern Pky	Bk	2 3	Subway	40.690545	-73.985065
292	77 ST	BMT	95626.0	34133.0	BMT	77 St	37.0	37.0	R43	4th Av	Bk	R	Subway	40.629742	-74.02551
293	71 ST	BMT	94362.0	36168.0	BMT	71 St	64.0	64.0	B17	West End	Bk	D	Elevated	40.619589000000005	-73.998864
294	COURT SQ-23 ST	IND	93780.0	32864.0	IND	Court Sq	274.0	606.0	F09	Queens Blvd	Q	E M	Subway	40.747846	-73.946
295	LAFAYETTE AV	IND	93702.0	42700.0	IND	Lafayette Av	176.0	176.0	A43	8th Av - Fulton St	Bk	C	Subway	40.686113	-73.973946
296	NEW UTRECHT AV	BMT	93125.0	34214.0	BMT	New Utrecht Av	73.0	615.0	N04	Sea Beach	Bk	N	Open Cut	40.624842	-73.996353
297	EASTN PKWY-MUSM	IRT	92651.0	87985.0	IRT	Eastern Pkwy - Brooklyn Museum	341.0	341.0	238	Eastern Pky	Bk	2 3	Subway	40.671987	-73.964375
298	JACKSON AV	IRT	92358.0	19144.0	IRT	Jackson Av	433.0	433.0	220	Lenox - White Plains Rd	Bx	2 5	Elevated	40.81649	-73.90780699999999
299	ALLERTON AV	IRT	91137.0	37744.0	IRT	Allerton Av	423.0	423.0	210	Lenox - White Plains Rd	Bx	2 5	Elevated	40.865462	-73.867352
300	9TH STREET	PTH	90946.0	94651.0	 	 									
301	36 ST	IND	90730.0	61708.0	IND	36 St	272.0	272.0	G20	Queens Blvd	Q	M R	Subway	40.752039	-73.928781
302	COURT SQ	IRT	90653.0	102252.0	IRT	Court Sq	462.0	606.0	719	Flushing	Q	7	Elevated	40.747023	-73.945264
303	174-175 STS	IND	90616.0	35160.0	IND	174-175 Sts	216.0	216.0	D08	Concourse	Bx	B D	Subway	40.8459	-73.910136
304	CLASSON AV	IND	90593.0	84634.0	IND	Classon Av	290.0	290.0	G34	Crosstown	Bk	G	Subway	40.688873	-73.96007
305	NEW LOTS	BMT	89931.0	86886.0	BMT	New Lots Av	136.0	136.0	L27	Canarsie	Bk	L	Elevated	40.658733000000005	-73.899232
306	KINGS HWY	IND	89555.0	77145.0	IND	Kings Hwy	250.0	250.0	F35	6th Av - Culver	Bk	F	Elevated	40.603217	-73.97236099999999
307	MT EDEN AV	IRT	89319.0	70009.0	IRT	Mt Eden Av	386.0	386.0	411	Jerome Av	Bx	4	Elevated	40.844434	-73.91468499999999
308	9 AV	BMT	89238.0	97714.0	BMT	9 Av	59.0	59.0	B12	West End	Bk	D	Open Cut	40.646291999999995	-73.994324
309	WAKEFIELD/241	IRT	88281.0	94448.0	IRT	Wakefield - 241 St	416.0	416.0	201	Lenox - White Plains Rd	Bx	2	Elevated	40.903125	-73.85061999999999
310	135 ST	IND	87476.0	65841.0	IND	135 St	152.0	152.0	A14	8th Av - Fulton St	M	B C	Subway	40.817894	-73.947649
311	25 AV	BMT	87460.0	24014.0	BMT	25 Av	69.0	69.0	B22	West End	Bk	D	Elevated	40.597704	-73.986829
312	FRESH POND RD	BMT	86770.0	93386.0	BMT	Fresh Pond Rd	109.0	109.0	M04	Myrtle Av	Q	M	Elevated	40.706185999999995	-73.895877
313	69 ST	IRT	85669.0	91014.0	IRT	69 St	455.0	455.0	711	Flushing	Q	7	Elevated	40.746325	-73.896403
314	PROSPECT AV	BMT	85575.0	70679.0	BMT	Prospect Av	30.0	30.0	R34	4th Av	Bk	R	Subway	40.665414	-73.99287199999999
315	233 ST	IRT	85246.0	28745.0	IRT	233 St	418.0	418.0	205	Lenox - White Plains Rd	Bx	2 5	Elevated	40.893193	-73.857473
316	182-183 STS	IND	84998.0	28275.0	IND	182-183 Sts	214.0	214.0	D06	Concourse	Bx	B D	Subway	40.856093	-73.900741
317	MARBLE HILL-225	IRT	84701.0	21006.0	IRT	Marble Hill - 225 St	296.0	296.0	106	Broadway - 7Av	M	1	Elevated	40.874561	-73.90983100000001
318	NEW LOTS AV	IRT	84622.0	86148.0	IRT	New Lots Av	352.0	352.0	257	Eastern Pky	Bk	3	Elevated	40.666235	-73.884079
319	190 ST	IND	84416.0	37636.0	IND	190 St	145.0	145.0	A05	8th Av - Fulton St	M	A	Subway	40.859021999999996	-73.93418
320	WILSON AV	BMT	83795.0	75435.0	BMT	Wilson Av	130.0	130.0	L20	Canarsie	Bk	L	Subway	40.688764	-73.904046
321	SMITH-9 ST	IND	83578.0	99967.0	IND	Smith - 9 Sts	238.0	238.0	F22	6th Av - Culver	Bk	F G	Viaduct	40.67358	-73.995959
322	FAR ROCKAWAY	IND	83133.0	87380.0	IND	Far Rockaway - Mott Av	209.0	209.0	H11	Rockaway	Q	A	Viaduct	40.603995	-73.75540500000001
323	BEDFORD PK BLVD	IRT	82185.0	63090.0	IRT	Bedford Park Blvd - Lehman College	380.0	380.0	405	Jerome Av	Bx	4	Elevated	40.873412	-73.890064
324	KINGSTON AV	IRT	81031.0	67288.0	IRT	Kingston Av	344.0	344.0	249	Eastern Pky	Bk	3	Subway	40.669399	-73.942161
325	E 149 ST	IRT	80543.0	79623.0	IRT	E 149 St	373.0	373.0	615	Pelham	Bx	6	Subway	40.812118	-73.904098
326	BRIARWOOD	IND	80530.0	41604.0	IND	Briarwood - Van Wyck Blvd	258.0	258.0	F05	Queens Blvd	Q	E F	Subway	40.709179	-73.820574
327	NECK RD	BMT	80520.0	22562.0	BMT	Neck Rd	53.0	53.0	D38	Broadway - Brighton	Bk	B Q	Open Cut	40.595246	-73.955161
328	WOODHAVEN BLVD	BMT	80371.0	42407.0	BMT	Woodhaven Blvd	83.0	83.0	J15	Jamaica	Q	J Z	Elevated	40.693878999999995	-73.851576
329	JAMAICA VAN WK	IND	80015.0	85058.0	IND	Jamaica - Van Wyck	280.0	280.0	G07	Queens - Archer	Q	E	Subway	40.702566	-73.816859
330	HOWARD BCH JFK	IND	79873.0	88807.0	IND	Howard Beach - JFK Airport	198.0	198.0	H03	Rockaway	Q	A	At Grade	40.660476	-73.830301
331	CRESCENT ST	BMT	79373.0	87998.0	BMT	Crescent St	87.0	87.0	J20	Jamaica	Bk	J Z	Elevated	40.683194	-73.873785
332	BROADWAY	IND	78860.0	64298.0	IND	Broadway	286.0	286.0	G30	Crosstown	Bk	G	Subway	40.706092	-73.95030799999999
333	SARATOGA AV	IRT	78097.0	81137.0	IRT	Saratoga Av	347.0	347.0	252	Eastern Pky	Bk	3	Elevated	40.661453	-73.916327
334	FREEMAN ST	IRT	77909.0	69607.0	IRT	Freeman St	429.0	429.0	216	Lenox - White Plains Rd	Bx	2 5	Elevated	40.829993	-73.891865
335	CLARK ST	IRT	77254.0	42364.0	IRT	Clark St	334.0	334.0	231	Clark St	Bk	2 3	Subway	40.697466	-73.993086
336	BEVERLY RD	IRT	74478.0	14115.0	IRT	Beverly Rd	357.0	357.0	245	Nostrand	Bk	2 5	Subway	40.645098	-73.948959
337	80 ST	IND	74391.0	41665.0	IND	80 St	190.0	190.0	A59	Liberty Av	Q	A	Elevated	40.679371	-73.858992
338	SUTPHIN BLVD	IND	73448.0	46148.0	IND	Sutphin Blvd	257.0	257.0	F04	Queens Blvd	Q	F	Subway	40.705459999999995	-73.81070799999999
339	SUTTER AV	BMT	72511.0	58636.0	BMT	Sutter Av	134.0	134.0	L25	Canarsie	Bk	L	Elevated	40.669367	-73.901975
340	18 AV	IND	72255.0	26059.0	IND	18 Av	245.0	245.0	F30	6th Av - Culver	Bk	F	Elevated	40.629754999999996	-73.97697099999999
341	EASTCHSTER/DYRE	IRT	72004.0	73005.0	IRT	Eastchester - Dyre Av	442.0	442.0	501	Dyre Av	Bx	5	At Grade	40.8883	-73.830834
342	ROCKAWAY AV	IRT	70914.0	81601.0	IRT	Rockaway Av	348.0	348.0	253	Eastern Pky	Bk	3	Elevated	40.662549	-73.908946
343	ST LAWRENCE AV	IRT	70612.0	68404.0	IRT	St Lawrence Av	367.0	367.0	609	Pelham	Bx	6	Elevated	40.831509000000004	-73.86761800000001
344	238 ST	IRT	70082.0	1988.0	IRT	238 St	294.0	294.0	103	Broadway - 7Av	Bx	1	Elevated	40.884667	-73.90087
345	225 ST	IRT	69483.0	34880.0	IRT	225 St	419.0	419.0	206	Lenox - White Plains Rd	Bx	2 5	Elevated	40.888022	-73.860341
346	BOWERY	BMT	69430.0	53026.0	BMT	Bowery	103.0	103.0	M19	Jamaica	M	J Z	Subway	40.720279999999995	-73.993915
347	DITMAS AV	IND	67189.0	39686.0	IND	Ditmas Av	244.0	244.0	F29	6th Av - Culver	Bk	F	Elevated	40.636119	-73.978172
348	NOSTRAND AV	IRT	66916.0	68997.0	IRT	Nostrand Av	343.0	343.0	248	Eastern Pky	Bk	3	Subway	40.669847	-73.950466
349	EAST 105 ST	BMT	66869.0	64047.0	BMT	E 105 St	137.0	137.0	L28	Canarsie	Bk	L	At Grade	40.650573	-73.899485
350	JAY ST-METROTEC	BMT	66456.0	45373.0	BMT	Jay St - MetroTech	25.0	636.0	R29	Broadway	Bk	R	Subway	40.69218	-73.98594200000001
351	4 AV-9 ST	IND	66448.0	89092.0	IND	4 Av	239.0	608.0	F23	6th Av - Culver	Bk	F G	Viaduct	40.670272	-73.989779
352	39 AV	BMT	65549.0	40598.0	BMT	39 Av	6.0	6.0	R08	Astoria	Q	N W	Elevated	40.752882	-73.932755
353	65 ST	IND	65434.0	47341.0	IND	65 St	268.0	268.0	G15	Queens Blvd	Q	M R	Subway	40.749669	-73.898453
354	HARLEM 148 ST	IRT	65276.0	60536.0	IRT	Harlem - 148 St	436.0	436.0	301	Lenox - White Plains Rd	M	3	Subway	40.823879999999996	-73.93647
355	85 ST-FOREST PK	BMT	65172.0	52820.0	BMT	85 St - Forest Pkwy	84.0	84.0	J16	Jamaica	Q	J	Elevated	40.692434999999996	-73.86001
356	BEVERLEY ROAD	BMT	64560.0	58947.0	BMT	Beverley Rd	45.0	45.0	D29	Broadway - Brighton	Bk	B Q	Open Cut	40.644031	-73.964492
357	PRESIDENT ST	IRT	63433.0	67755.0	IRT	President St	353.0	353.0	241	Nostrand	Bk	2 5	Subway	40.667883	-73.950683
358	BUHRE AV	IRT	62571.0	59173.0	IRT	Buhre Av	361.0	361.0	602	Pelham	Bx	6	Elevated	40.84681	-73.83256899999999
359	RIT-MANHATTAN	RIT	62503.0	1252.0	 	 									
360	PENNSYLVANIA AV	IRT	62056.0	32128.0	IRT	Pennsylvania Av	350.0	350.0	255	Eastern Pky	Bk	3	Elevated	40.664635	-73.89489499999999
361	25 ST	BMT	61485.0	50832.0	BMT	25 St	31.0	31.0	R35	4th Av	Bk	R	Subway	40.660396999999996	-73.998091
362	74 ST-BROADWAY	IRT	60480.0	92307.0	IRT	74 St - Broadway	454.0	616.0	710	Flushing	Q	7	Elevated	40.746848	-73.89139399999999
363	BERGEN ST	IRT	60378.0	48709.0	IRT	Bergen St	339.0	339.0	236	Eastern Pky	Bk	2 3	Subway	40.680828999999996	-73.975098
364	OCEAN PKWY	BMT	60238.0	31414.0	BMT	Ocean Pkwy	56.0	56.0	D41	Broadway - Brighton	Bk	Q	Elevated	40.576312	-73.968501
365	METROPOLITAN AV	BMT	59622.0	60155.0	BMT	Middle Village - Metropolitan Av	108.0	108.0	M01	Myrtle Av	Q	M	Elevated	40.711396	-73.889601
366	75 AV	IND	59377.0	16564.0	IND	75 Av	260.0	260.0	F07	Queens Blvd	Q	E F	Subway	40.718331	-73.837324
367	LIVONIA AV	BMT	59278.0	46250.0	BMT	Livonia Av	135.0	135.0	L26	Canarsie	Bk	L	Elevated	40.664038	-73.900571
368	CHAUNCEY ST	BMT	59142.0	26394.0	BMT	Chauncey St	93.0	93.0	J28	Jamaica	Bk	J Z	Elevated	40.682893	-73.91045600000001
369	219 ST	IRT	59093.0	33942.0	IRT	219 St	420.0	420.0	207	Lenox - White Plains Rd	Bx	2 5	Elevated	40.883895	-73.862633
370	RIT-ROOSEVELT	RIT	59068.0	1100.0	 	 									
371	75 ST-ELDERTS	BMT	58716.0	47155.0	BMT	75 St	85.0	85.0	J17	Jamaica	Q	J Z	Elevated	40.691324	-73.867139
372	W 8 ST-AQUARIUM	BMT	58536.0	49544.0	BMT	W 8 St - NY Aquarium	57.0	57.0	D42	Broadway - Brighton	Bk	F Q	Elevated	40.576127	-73.975939
373	FOREST AVE	BMT	58521.0	49113.0	BMT	Forest Av	110.0	110.0	M05	Myrtle Av	Q	M	Elevated	40.704423	-73.903077
374	NEREID AV	IRT	58060.0	24513.0	IRT	Nereid Av	417.0	417.0	204	Lenox - White Plains Rd	Bx	2 5	Elevated	40.898379	-73.854376
375	KNICKERBOCKER	BMT	57387.0	57960.0	BMT	Knickerbocker Av	113.0	113.0	M09	Myrtle Av	Bk	M	Elevated	40.698664	-73.91971099999999
376	PATH WTC 2	PTH	57367.0	211262.0	 	 									
377	SHEPHERD AV	IND	56244.0	30255.0	IND	Shepherd Av	187.0	187.0	A54	8th Av - Fulton St	Bk	C	Subway	40.67413	-73.88075
